Date,Ticker,Open,High,Low,Close,Volume,Delta,volumeDelta,high_low_delta,end_day_delta
2022-09-07,^NDX,12038.1796875,12298.1201171875,12026.98046875,12259.3896484375,81560000.0,0.020653874306775233,-0.013307524800387105,0.022544282760083367,0.01837569854246288
2022-09-08,^NDX,12139.5703125,12374.1298828125,12120.259765625,12321.1904296875,83630000.0,0.005041097723643695,0.02538008827856797,0.02094593037580897,0.014961000473014066
2022-09-09,^NDX,12424.150390625,12610.4296875,12424.150390625,12588.2900390625,81940000.0,0.021678068438211406,-0.020208059308860493,0.014993322763990558,0.013211337860281882
2022-09-12,^NDX,12649.23046875,12752.830078125,12639.759765625,12739.7197265625,4146680000.0,0.012029408841876199,49.60629729070051,0.008945606134659712,0.007153736192573474
2022-09-13,^NDX,12364.830078125,12420.009765625,12004.419921875,12033.6201171875,5188380000.0,-0.05542505051369162,0.2512130186076571,0.03461973560194219,-0.02678645471428303
2022-09-14,^NDX,12092.0302734375,12170.25,12016.4296875,12134.400390625,4861530000.0,0.008374892381184385,-0.06299654227331075,0.012800833234185226,0.0035039704854671273
2022-09-15,^NDX,12034.4296875,12153.33984375,11867.8798828125,11927.490234375,4805910000.0,-0.017051535270738105,-0.011440842697669207,0.024053155555687215,-0.00888612554993583
2022-09-16,^NDX,11775.9404296875,11875.08984375,11710.259765625,11861.3798828125,7451840000.0,-0.005542687544775382,0.5505575426922269,0.014075697843087317,0.007255425045256222
2022-09-19,^NDX,11753.599609375,11956.7900390625,11752.4296875,11953.26953125,4168670000.0,0.007746961090981497,-0.4405851440717997,0.017388774661622496,0.01698798057709382
2022-09-20,^NDX,11855.83984375,11951.1298828125,11761.6904296875,11851.5400390625,4028100000.0,-0.00851059970843493,-0.03372058714170223,0.016106481823976494,-0.00036267398549304057
2022-09-21,^NDX,11892.7197265625,12062.51953125,11636.25,11637.7900390625,4471000000.0,-0.01803563075309056,0.10995258310369649,0.03663289558491782,-0.021435776959463037
2022-09-22,^NDX,11574.3203125,11617.990234375,11448.8603515625,11501.650390625,4916470000.0,-0.011698067071200358,0.09963542831581296,0.014772639163986112,-0.006278547673898238
2022-09-23,^NDX,11398.75,11402.41015625,11169.66015625,11311.240234375,5134350000.0,-0.016555029042197633,0.04431634892514347,0.02083769754353398,-0.007677137021603246
2022-09-26,^NDX,11283.1396484375,11473.3603515625,11235.740234375,11254.1103515625,4697730000.0,-0.005050717837190133,-0.08503900201583448,0.02114859477264498,-0.0025728031185911987
2022-09-27,^NDX,11411.33984375,11502.3798828125,11175.2900390625,11271.75,4445050000.0,0.0015673960789845953,-0.05378768043288995,0.029269025019187753,-0.012232555130364772
2022-09-28,^NDX,11258.740234375,11546.8701171875,11210.8095703125,11493.830078125,4556100000.0,0.019702360159247645,0.024982846087220567,0.029976474470222614,0.02088065261797475
2022-09-29,^NDX,11334.5703125,11339.91015625,11038.9404296875,11164.7802734375,4516630000.0,-0.028628386051551824,-0.008663110994051926,0.027264367307671043,-0.01497983905708821
2022-09-30,^NDX,11123.1103515625,11296.16015625,10966.9501953125,10971.2197265625,4649710000.0,-0.01733670902019513,0.02946444583682961,0.03001836928904912,-0.013655409341386551
2022-10-03,^NDX,11059.169921875,11296.4296875,10985.009765625,11229.73046875,4415440000.0,0.02356262554487154,-0.05038378737598692,0.028349535277566642,0.015422545098762957
2022-10-04,^NDX,11477.849609375,11609.25,11462.3701171875,11582.5400390625,5004780000.0,0.03141745666062912,0.13347254180783796,0.012814093534831664,0.009121083935617159
2022-10-05,^NDX,11429.4697265625,11647.6201171875,11312.51953125,11573.1796875,4091860000.0,-0.0008081432510427256,-0.18240961640671516,0.0296221000999653,0.012573633280948534
2022-10-06,^NDX,11556.400390625,11660.5498046875,11472.830078125,11485.5,4423320000.0,-0.0075761104439345806,0.08100472645691692,0.016362111639779377,-0.006135162180995143
2022-10-07,^NDX,11272.4599609375,11293.650390625,10991.66015625,11039.4697265625,4634190000.0,-0.03883420603695964,0.04767233661593551,0.027474487937409933,-0.020668978659705333
2022-10-10,^NDX,11048.509765625,11063.2099609375,10824.25,10926.9697265625,3989640000.0,-0.010190706871482158,-0.13908579492856354,0.022076352720742775,-0.011000582127432698
2022-10-11,^NDX,10865.3203125,10981.91015625,10716.330078125,10791.349609375,4738840000.0,-0.012411502967544563,0.18778636668972637,0.024782745229835965,-0.006807963409960446
2022-10-12,^NDX,10810.2998046875,10886.490234375,10754.849609375,10785.6201171875,4091030000.0,-0.000530933793723265,-0.13670223092571177,0.012240117693998147,-0.0022829790057532482
2022-10-13,^NDX,10481.580078125,11087.66015625,10440.6396484375,11033.580078125,5300080000.0,0.022989865973710888,0.2955368208006297,0.061971347503534446,0.052663815558879425
2022-10-14,^NDX,11130.080078125,11152.8896484375,10677.48046875,10692.0595703125,4393000000.0,-0.030952828129610754,-0.17114458649680764,0.044524471955616284,-0.039354659152307736
2022-10-17,^NDX,10967.25,11090.8701171875,10959.740234375,11062.5302734375,4439190000.0,0.03464914319722334,0.010514454814477547,0.011964688944105977,0.008687708718001322
2022-10-18,^NDX,11368.759765625,11374.3798828125,11035.7998046875,11147.740234375,5047360000.0,0.007702574260257666,0.13700021850833144,0.030680157679299942,-0.019440953613804275
2022-10-19,^NDX,11081.8203125,11231.4599609375,11008.1103515625,11103.3798828125,4955090000.0,-0.003979313352289182,-0.018280843847080508,0.020289550362592213,0.0019454899740777582
2022-10-20,^NDX,11081.2197265625,11279.8095703125,11001.2802734375,11046.7099609375,4628010000.0,-0.005103844277427827,-0.06600889186674708,0.025317898458373674,-0.003114256956955519
2022-10-21,^NDX,10998.169921875,11327.76953125,10962.009765625,11310.330078125,4706440000.0,0.023864129511835808,0.016946808671545632,0.03336612295055241,0.028382918109777854
2022-10-24,^NDX,11321.1103515625,11468.1796875,11166.490234375,11430.259765625,4808710000.0,0.010603553271354427,0.021729800018697842,0.027017392823778873,0.009641228702221383
2022-10-25,^NDX,11482.8701171875,11681.849609375,11480.41015625,11669.990234375,5141760000.0,0.020973317638060873,0.06925973909842775,0.017546363795664148,0.016295587712641595
2022-10-26,^NDX,11409.7998046875,11657.0615234375,11388.3408203125,11490.7685546875,797673398.0,-0.015357483261604354,-0.8448637435430669,0.023596124085582662,0.007096421618785592
2022-01-03,^DJI,36321.58984375,36595.8203125,36246.44921875,36585.05859375,347930000.0,,,0.009638767418058514,0.0072537780183467414
2022-01-04,^DJI,36636.0,36934.83984375,36636.0,36799.6484375,435080000.0,0.005865504990243631,0.2504814186761706,0.00815699977481166,0.004466875136477782
2022-01-05,^DJI,36722.6015625,36952.6484375,36400.390625,36407.109375,462040000.0,-0.010666924255178234,0.06196561551898494,0.015171755110801094,-0.008591226494752784
2022-01-06,^DJI,36409.05078125,36464.19140625,36200.6796875,36236.46875,385890000.0,-0.004687013825853903,-0.16481257034023034,0.007279192573861808,-0.004740085982655626
2022-01-07,^DJI,36249.58984375,36382.83984375,36111.53125,36231.66015625,356110000.0,-0.00013270039592361282,-0.07717225115965687,0.007513073645970081,-0.0004946176653938434
2022-01-10,^DJI,36175.2109375,36175.2109375,35639.91015625,36068.87109375,430680000.0,-0.004493005890372381,0.20940158939653486,0.01501970063625783,-0.002939577710651739
2022-01-11,^DJI,36058.8515625,36271.46875,35769.37890625,36252.01953125,356850000.0,0.005077742439566935,-0.17142658122039567,0.014036862229728837,0.005357019438491719
2022-01-12,^DJI,36336.16015625,36453.48828125,36168.1484375,36290.3203125,310180000.0,0.001056514416168941,-0.13078324225865212,0.00788925770538347,-0.0012615489240713103
2022-01-13,^DJI,36312.48828125,36513.87890625,36044.21875,36113.62109375,343640000.0,-0.004869045443204212,0.1078728480237281,0.013030110584655133,-0.005476550820745747
2022-01-14,^DJI,35996.4296875,35996.4296875,35641.48828125,35911.80859375,389200000.0,-0.005588265421407113,0.13258060761261792,0.009958658388480507,-0.002350819080798595
2022-01-18,^DJI,35661.76171875,35661.76171875,35262.01953125,35368.46875,427260000.0,-0.015129837928701817,0.09779033915724566,0.011336338440449772,-0.008224298369303343
2022-01-19,^DJI,35412.30078125,35547.828125,35015.48828125,35028.6484375,393080000.0,-0.009608001830726742,-0.07999812760380098,0.015202982162469398,-0.010833872278446677
2022-01-20,^DJI,35102.66015625,35490.19921875,34670.12109375,34715.390625,369070000.0,-0.008942903208467579,-0.061081713646077174,0.023653742736648126,-0.011032483849547994
2022-01-21,^DJI,34701.69140625,34896.671875,34229.55078125,34265.37109375,523880000.0,-0.012963112992481318,0.419459723087761,0.01948962456484911,-0.012573459529451521
2022-01-24,^DJI,34070.609375,34420.98828125,33150.328125,34364.5,664010000.0,0.0028929762931440006,0.2674849202107352,0.0383302437145937,0.008625928047405227
2022-01-25,^DJI,34186.640625,34591.0390625,33545.51953125,34297.73046875,506430000.0,-0.0019429798556650502,-0.23731570307676086,0.031167188520542226,0.0032495103853159013
2022-01-26,^DJI,34520.8203125,34815.671875,33876.48046875,34168.08984375,546330000.0,-0.0037798601606634508,0.07878680172975527,0.02772399591853631,-0.010217905181768702
2022-01-27,^DJI,34261.75,34773.3203125,34007.78125,34160.78125,527780000.0,-0.0002139011511448352,-0.033953837424267386,0.022510702973308497,-0.002946981692412092
2022-01-28,^DJI,34135.23828125,34731.76953125,33807.51171875,34725.46875,568440000.0,0.0165302864670287,0.07703967562241854,0.027338829908247785,0.01729094327354396
